species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass2_g,has_offspring,health_status,tested_positive,cluster
Adelie,Torgersen,39.1,18.7,181,3750,male,2007,3530,TRUE,good,FALSE,22
Adelie,Torgersen,39.5,17.4,186,3800,female,2007,3527,TRUE,fair,FALSE,9
Adelie,Torgersen,40.3,18,195,3250,female,2007,3076,TRUE,good,FALSE,14
Adelie,Torgersen,NA,NA,NA,NA,NA,2007,4839,TRUE,fair,FALSE,34
Adelie,Torgersen,36.7,19.3,193,3450,female,2007,3544,TRUE,good,FALSE,28
Adelie,Torgersen,39.3,20.6,190,3650,male,2007,3414,TRUE,good,FALSE,33
Adelie,Torgersen,38.9,17.8,181,3625,female,2007,3476,TRUE,good,FALSE,11
Adelie,Torgersen,39.2,19.6,195,4675,male,2007,4363,FALSE,fair,FALSE,30
Adelie,Torgersen,34.1,18.1,193,3475,NA,2007,3423,TRUE,good,FALSE,15
Adelie,Torgersen,42,20.2,190,4250,NA,2007,4041,FALSE,good,FALSE,32
Adelie,Torgersen,37.8,17.1,186,3300,NA,2007,2995,TRUE,fair,FALSE,6
Adelie,Torgersen,37.8,17.3,180,3700,NA,2007,3636,TRUE,good,FALSE,8
Adelie,Torgersen,41.1,17.6,182,3200,female,2007,3166,FALSE,poor,FALSE,10
Adelie,Torgersen,38.6,21.2,191,3800,male,2007,3619,TRUE,poor,FALSE,34
Adelie,Torgersen,34.6,21.1,198,4400,male,2007,4328,FALSE,fair,FALSE,33
Adelie,Torgersen,36.6,17.8,185,3700,female,2007,3467,TRUE,good,FALSE,11
Adelie,Torgersen,38.7,19,195,3450,female,2007,3457,TRUE,fair,FALSE,25
Adelie,Torgersen,42.5,20.7,197,4500,male,2007,4374,TRUE,good,FALSE,33
Adelie,Torgersen,34.4,18.4,184,3325,female,2007,3207,FALSE,fair,FALSE,17
Adelie,Torgersen,46,21.5,194,4200,male,2007,4183,FALSE,fair,FALSE,34
Adelie,Biscoe,37.8,18.3,174,3400,female,2007,3157,TRUE,fair,FALSE,17
Adelie,Biscoe,37.7,18.7,180,3600,male,2007,3395,TRUE,good,FALSE,22
Adelie,Biscoe,35.9,19.2,189,3800,female,2007,3510,TRUE,good,FALSE,27
Adelie,Biscoe,38.2,18.1,185,3950,male,2007,3594,FALSE,fair,FALSE,15
Adelie,Biscoe,38.8,17.2,180,3800,male,2007,3761,TRUE,good,TRUE,7
Adelie,Biscoe,35.3,18.9,187,3800,female,2007,3744,FALSE,poor,TRUE,24
Adelie,Biscoe,40.6,18.6,183,3550,male,2007,3334,TRUE,good,FALSE,21
Adelie,Biscoe,40.5,17.9,187,3200,female,2007,3047,TRUE,fair,TRUE,12
Adelie,Biscoe,37.9,18.6,172,3150,female,2007,3099,TRUE,good,FALSE,21
Adelie,Biscoe,40.5,18.9,180,3950,male,2007,3873,TRUE,poor,FALSE,24
Adelie,Dream,39.5,16.7,178,3250,female,2007,3186,TRUE,good,FALSE,3
Adelie,Dream,37.2,18.1,178,3900,male,2007,3672,TRUE,good,FALSE,15
Adelie,Dream,39.5,17.8,188,3300,female,2007,3243,TRUE,fair,FALSE,12
Adelie,Dream,40.9,18.9,184,3900,male,2007,3734,FALSE,good,FALSE,24
Adelie,Dream,36.4,17,195,3325,female,2007,2841,TRUE,fair,FALSE,4
Adelie,Dream,39.2,21.1,196,4150,male,2007,3820,TRUE,poor,FALSE,33
Adelie,Dream,38.8,20,190,3950,male,2007,3852,TRUE,good,FALSE,30
Adelie,Dream,42.2,18.5,180,3550,female,2007,3531,FALSE,fair,FALSE,18
Adelie,Dream,37.6,19.3,181,3300,female,2007,3042,TRUE,poor,FALSE,28
Adelie,Dream,39.8,19.1,184,4650,male,2007,4496,FALSE,good,FALSE,26
Adelie,Dream,36.5,18,182,3150,female,2007,2930,TRUE,good,FALSE,14
Adelie,Dream,40.8,18.4,195,3900,male,2007,3650,TRUE,fair,FALSE,18
Adelie,Dream,36,18.5,186,3100,female,2007,3176,TRUE,fair,FALSE,19
Adelie,Dream,44.1,19.7,196,4400,male,2007,4388,TRUE,good,FALSE,30
Adelie,Dream,37,16.9,185,3000,female,2007,2964,FALSE,good,TRUE,4
Adelie,Dream,39.6,18.8,190,4600,male,2007,4637,TRUE,good,FALSE,23
Adelie,Dream,41.1,19,182,3425,male,2007,3368,TRUE,good,FALSE,26
Adelie,Dream,37.5,18.9,179,2975,NA,2007,2904,TRUE,fair,FALSE,24
Adelie,Dream,36,17.9,190,3450,female,2007,3344,TRUE,fair,FALSE,13
Adelie,Dream,42.3,21.2,191,4150,male,2007,4047,TRUE,good,FALSE,34
Adelie,Biscoe,39.6,17.7,186,3500,female,2008,3423,TRUE,good,FALSE,11
Adelie,Biscoe,40.1,18.9,188,4300,male,2008,4201,TRUE,good,FALSE,25
Adelie,Biscoe,35,17.9,190,3450,female,2008,3323,TRUE,poor,FALSE,13
Adelie,Biscoe,42,19.5,200,4050,male,2008,3873,TRUE,good,FALSE,29
Adelie,Biscoe,34.5,18.1,187,2900,female,2008,2829,TRUE,good,FALSE,16
Adelie,Biscoe,41.4,18.6,191,3700,male,2008,3622,TRUE,fair,FALSE,21
Adelie,Biscoe,39,17.5,186,3550,female,2008,3258,TRUE,poor,FALSE,9
Adelie,Biscoe,40.6,18.8,193,3800,male,2008,3575,TRUE,fair,FALSE,23
Adelie,Biscoe,36.5,16.6,181,2850,female,2008,2909,TRUE,good,FALSE,2
Adelie,Biscoe,37.6,19.1,194,3750,male,2008,3545,TRUE,good,FALSE,27
Adelie,Biscoe,35.7,16.9,185,3150,female,2008,3021,FALSE,good,FALSE,4
Adelie,Biscoe,41.3,21.1,195,4400,male,2008,4294,TRUE,good,FALSE,34
Adelie,Biscoe,37.6,17,185,3600,female,2008,3621,TRUE,good,FALSE,4
Adelie,Biscoe,41.1,18.2,192,4050,male,2008,4104,TRUE,fair,FALSE,16
Adelie,Biscoe,36.4,17.1,184,2850,female,2008,2840,FALSE,good,FALSE,6
Adelie,Biscoe,41.6,18,192,3950,male,2008,3727,TRUE,fair,FALSE,14
Adelie,Biscoe,35.5,16.2,195,3350,female,2008,3230,TRUE,good,FALSE,2
Adelie,Biscoe,41.1,19.1,188,4100,male,2008,3858,TRUE,good,FALSE,27
Adelie,Torgersen,35.9,16.6,190,3050,female,2008,2955,TRUE,good,FALSE,3
Adelie,Torgersen,41.8,19.4,198,4450,male,2008,4407,TRUE,poor,FALSE,28
Adelie,Torgersen,33.5,19,190,3600,female,2008,3355,TRUE,good,FALSE,26
Adelie,Torgersen,39.7,18.4,190,3900,male,2008,3789,TRUE,fair,FALSE,18
Adelie,Torgersen,39.6,17.2,196,3550,female,2008,3525,FALSE,fair,FALSE,7
Adelie,Torgersen,45.8,18.9,197,4150,male,2008,4063,TRUE,fair,FALSE,25
Adelie,Torgersen,35.5,17.5,190,3700,female,2008,3461,TRUE,good,TRUE,9
Adelie,Torgersen,42.8,18.5,195,4250,male,2008,4043,TRUE,good,FALSE,19
Adelie,Torgersen,40.9,16.8,191,3700,female,2008,3800,TRUE,good,FALSE,3
Adelie,Torgersen,37.2,19.4,184,3900,male,2008,3769,FALSE,good,FALSE,29
Adelie,Torgersen,36.2,16.1,187,3550,female,2008,3420,FALSE,good,FALSE,1
Adelie,Torgersen,42.1,19.1,195,4000,male,2008,3819,TRUE,good,FALSE,27
Adelie,Torgersen,34.6,17.2,189,3200,female,2008,3190,TRUE,fair,FALSE,7
Adelie,Torgersen,42.9,17.6,196,4700,male,2008,4610,TRUE,fair,FALSE,10
Adelie,Torgersen,36.7,18.8,187,3800,female,2008,3615,FALSE,poor,FALSE,23
Adelie,Torgersen,35.1,19.4,193,4200,male,2008,4240,TRUE,good,FALSE,29
Adelie,Dream,37.3,17.8,191,3350,female,2008,3177,FALSE,good,FALSE,12
Adelie,Dream,41.3,20.3,194,3550,male,2008,3384,TRUE,fair,FALSE,32
